# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator: 
# Instrument: Test_DiskChoppers.instr
# Ncount: 10000000000
# Trace: no
# Gravitation: no
# Seed: 1680785056
# Directory: /home/zypan/projects/mcstas_run/Test_DiskChoppers_20230306_105338
# Date: Mon Mar  6 11:30:52 2023 (1678073452)
# type: array_1d(10000)
# Source: Test_DiskChoppers (Test_DiskChoppers.instr)
# component: tofin
# position: 0 0 10
# title: Time-of-flight monitor
# Ncount: 10000000000
# filename: TOF_in.dat
# statistics: X0=4002.22; dX=1913.01;
# signal: Min=0; Max=1.4474; Mean=0.202237;
# values: 2022.37 0.0483998 7.91199e+09
# xvar: t
# yvar: (I,I_err)
# xlabel: Time-of-flight [\gms]
# ylabel: Intensity
# xlimits: 0 20000
# variables: t I I_err N
1 0 0 792441 
3 0 0 790666 
5 0 0 791943 
7 0 0 791267 
9 0 0 791521 
11 0 0 790854 
13 0 0 794266 
15 0 0 790640 
17 0 0 790749 
19 0 0 792161 
21 0 0 789736 
23 0 0 791510 
25 0 0 791516 
27 0 0 790220 
29 0 0 791820 
31 0 0 792131 
33 0 0 791765 
35 0 0 790210 
37 0 0 790361 
39 0 0 790978 
41 0 0 791349 
43 0 0 790017 
45 0 0 791695 
47 0 0 791814 
49 0 0 792743 
51 0 0 791516 
53 0 0 790670 
55 0 0 791309 
57 0 0 790029 
59 0 0 791470 
61 0 0 790038 
63 0 0 789964 
65 0 0 790947 
67 0 0 791203 
69 0 0 792802 
71 0 0 788799 
73 0 0 790816 
75 0 0 791933 
77 0 0 791121 
79 0 0 792202 
81 0 0 790227 
83 0 0 790236 
85 0 0 792919 
87 0 0 790406 
89 0 0 788717 
91 0 0 791532 
93 0 0 791992 
95 0 0 791359 
97 0 0 792208 
99 0 0 790824 
101 0 0 791822 
103 0 0 791020 
105 0 0 791220 
107 0 0 793158 
109 0 0 789844 
111 0 0 790695 
113 0 0 791113 
115 0 0 790962 
117 0 0 791655 
119 0 0 791609 
121 0 0 789394 
123 0 0 792518 
125 0 0 789400 
127 0 0 791922 
129 0 0 793030 
131 0 0 791795 
133 0 0 790482 
135 0 0 790272 
137 0 0 791872 
139 0 0 790361 
141 0 0 792522 
143 0 0 790666 
145 0 0 791490 
147 0 0 793525 
149 0 0 790240 
151 0 0 790266 
153 0 0 791284 
155 0 0 791429 
157 0 0 791367 
159 0 0 792238 
161 0 0 790831 
163 0 0 794214 
165 0 0 790592 
167 5.23064601e-313 0 790308 
169 1.430909902e-305 0 789827 
171 2.194819171e-298 0 792702 
173 1.872858865e-291 0 791870 
175 9.358505144e-285 0 790524 
177 2.778910226e-278 0 792155 
179 5.060241073e-272 0 790964 
181 5.705200613e-266 0 790756 
183 4.116473625e-260 0 791393 
185 1.922555508e-254 0 792907 
187 5.935903071e-249 0 789374 
189 1.221561581e-243 0 788988 
191 1.73761186e-238 0 790211 
193 1.703879186e-233 0 789931 
195 1.185439007e-228 0 791531 
197 5.813362493e-224 0 792362 
199 2.094536127e-219 0 790561 
201 5.469912873e-215 0 790665 
203 1.069953623e-210 0 792791 
205 1.564325305e-206 0 792540 
207 1.733020387e-202 0 790555 
209 1.476007435e-198 0 792168 
211 9.704001244e-195 0 792086 
213 5.005992358e-191 0 791446 
215 2.042033978e-187 0 791316 
217 6.621408867e-184 0 790327 
219 1.718413326e-180 0 790081 
221 3.599153874e-177 0 790868 
223 6.190723678e-174 0 790223 
225 8.712782629e-171 0 791161 
227 1.019783619e-167 0 793303 
229 9.853425524e-165 0 790955 
231 8.003645889e-162 0 790385 
233 5.469109521e-159 0 791347 
235 3.166454548e-156 6.317341195e-159 791715 
237 1.564955507e-153 3.088838217e-156 790690 
239 6.59619126e-151 1.286834745e-153 791684 
241 2.418227435e-148 4.646617611e-151 792717 
243 7.600176933e-146 1.443507723e-148 793653 
245 2.077706835e-143 3.909626801e-146 790393 
247 4.960844145e-141 9.216523237e-144 791429 
249 1.036353685e-138 1.90669419e-141 790624 
251 1.915686303e-136 3.485397539e-139 790169 
253 3.136955958e-134 5.639290299e-137 791385 
255 4.550181093e-132 8.090035803e-135 791050 
257 5.882699596e-130 1.033048951e-132 791462 
259 6.794377688e-128 1.181273456e-130 791803 
261 7.008082382e-126 1.206094904e-128 791545 
263 6.544118226e-124 1.115011327e-126 792214 
265 5.508159082e-122 9.279125275e-125 792096 
267 4.198245755e-120 7.004350681e-123 792911 
269 2.90664155e-118 4.798598697e-121 793132 
271 1.82285229e-116 2.985186952e-119 791593 
273 1.05196301e-114 1.705695436e-117 791828 
